Name,Unit,Expression,Value,Comments,Favorite
bezel_width,mm,3 mm,3.00,3.00,false
screen_width,mm,207 mm,207.00,207.00,false
screen_height,mm,155 mm,155.00,155.00,false
kindle_height,mm,197 mm,197.00,196.50,false
kindle_width,mm,229.5 mm,229.50,229.00,false
screen_bott_padding,mm,30 mm,30.00,30.00,false
screen_top_padding,mm,11 mm,11.00,11.00,false
holder_lengh,mm,15 mm,15.00,15.00,false
holder_width,mm,3 mm,3.00,3.00,false
screen_side_padding,mm,( kindle_width - screen_width ) / 2,11.25,11.00,false
carton_bezel_padding_horizontal,mm,7 mm,7.00,10.00,false
carton_bezel_padding_vertical,mm,screen_bott_padding,30.00,30.00,false
vertical_locks_padding,mm,25 mm,25.00,,false
vertical_locks_position,mm,screen_height + ( carton_bezel_padding_vertical * 2 ) - vertical_locks_padding,190.00,,false
holder_height,mm,7.3 mm,7.30,,false
